Source,Target
Beisen.MailService.Sender.dll,Beisen.Configuration.dll
Beisen.MailService.ServiceImp.dll,Beisen.MailService.ServiceInterface.dll
Beisen.MailService.ServiceImp.dll,Beisen.Logging.dll
Beisen.MailService.ServiceImp.dll,Beisen.Queue.dll
Beisen.MailService.ServiceImp.dll,Beisen.TemplateService.ServiceImp.dll
Beisen.MailService.ServiceImp.dll,Beisen.TemplateService.ServiceInterface.dll
Beisen.MailService.ServiceImp.dll,Beisen.MailService.Sender.dll
Beisen.MailService.ServiceImp.dll,Beisen.Common.dll
Beisen.MailService.ServiceImp.dll,Beisen.Data.dll
Beisen.MediumSmallEnterpriseReport.Data.dll,Beisen.MediumSmallEnterpriseReport.Model.dll
Beisen.MediumSmallEnterpriseReport.Data.dll,DundasWinChart.dll
Beisen.MediumSmallEnterpriseReport.Data.dll,Beisen.Logging.dll
Beisen.MediumSmallEnterpriseReport.Data.dll,Beisen.Configuration.dll
Beisen.MediumSmallEnterpriseReport.Data.dll,Beisen.ReportEngine.Core.dll
Beisen.MediumSmallEnterpriseReport.Data.dll,Beisen.Data.dll
Beisen.MediumSmallEnterpriseReport.Model.dll,Beisen.ReportEngine.ServiceInterface.dll
Beisen.MediumSmallEnterpriseReport.Model.dll,Beisen.Logging.dll
Beisen.MediumSmallEnterpriseReport.ServiceImp.dll,Beisen.ReportEngine.Core.dll
Beisen.MediumSmallEnterpriseReport.ServiceImp.dll,Beisen.Logging.dll
Beisen.MediumSmallEnterpriseReport.ServiceImp.dll,Beisen.ReportEngine.ServiceInterface.dll
Beisen.MediumSmallEnterpriseReport.ServiceImp.dll,Beisen.MediumSmallEnterpriseReport.Model.dll
Beisen.MediumSmallEnterpriseReport.ServiceImp.dll,Beisen.ESB.ClientProxyFactory.dll
Beisen.MediumSmallEnterpriseReport.ServiceImp.dll,Beisen.Assessment.ServiceInterface.dll
Beisen.MediumSmallEnterpriseReport.ServiceImp.dll,Beisen.AssessmentReport.Model.dll
Beisen.MediumSmallEnterpriseReport.ServiceImp.dll,Beisen.Common.dll
Beisen.MediumSmallEnterpriseReport.ServiceImp.dll,Beisen.ReportEngine.BizVersion.dll
Beisen.MediumSmallEnterpriseReport.ServiceImp.dll,Beisen.MediumSmallEnterpriseReport.Data.dll
Beisen.MediumSmallEnterpriseReport.ServiceImp.dll,Beisen.MediumSmallEnterpriseReport.Workflow.dll
Beisen.MediumSmallEnterpriseReport.Workflow.dll,Beisen.ReportEngine.ServiceInterface.dll
Beisen.MediumSmallEnterpriseReport.Workflow.dll,Beisen.MediumSmallEnterpriseReport.Model.dll
Beisen.Membership2.dll,Beisen.BeisenUser.ServiceInterface.dll
Beisen.Membership2.dll,Beisen.Logging.dll
Beisen.Membership2.dll,Beisen.Common.dll
Beisen.Membership2.dll,Beisen.BeisenUser.ServiceImp.dll
Beisen.Membership2.dll,Beisen.Configuration.dll
Beisen.Membership2.dll,Beisen.Entity.dll
Beisen.Membership2.dll,MySpace.Shared.dll
Beisen.MessageCenter.ServiceImp.dll,Beisen.MessageCenter.ServiceInterface.dll
Beisen.MessageCenter.ServiceImp.dll,Beisen.Data.dll
Beisen.MessageCenter.ServiceImp.dll,Beisen.Indicator.dll
Beisen.MessageCenter.ServiceImp.dll,Beisen.DataRelay.Contract.dll
Beisen.MessageCenter.ServiceImp.dll,Beisen.Common.dll
Beisen.MultiTenant.Core.dll,Beisen.Entity.dll
Beisen.MultiTenant.Core.dll,FluentCassandra.dll
Beisen.MultiTenant.Core.dll,MySpace.Shared.dll
Beisen.MultiTenant.Core.dll,Beisen.Common.dll
Beisen.MultiTenant.Data.dll,Beisen.MultiTenant.Core.dll
Beisen.MultiTenant.Data.dll,Beisen.Cassandra.dll
Beisen.MultiTenant.Data.dll,FluentCassandra.dll
Beisen.MultiTenant.Data.dll,Beisen.Common.dll
Beisen.MultiTenant.Data.dll,Beisen.MultiTenant.MetaData.ServiceImp.dll
Beisen.MultiTenant.DataAccess.dll,Beisen.MultiTenant.Data.dll
Beisen.MultiTenant.DataAccess.dll,Beisen.Search.Core.dll
Beisen.MultiTenant.DataAccess.dll,Beisen.Logging.dll
Beisen.MultiTenant.DataAccess.dll,Beisen.MultiTenant.Core.dll
Beisen.MultiTenant.DataAccess.dll,Beisen.Cassandra.dll
Beisen.MultiTenant.DataAccess.dll,FluentCassandra.dll
Beisen.MultiTenant.DataAccess.dll,Beisen.Common.dll
Beisen.MultiTenant.DataAccess.dll,Beisen.MultiTenant.DataMapper.dll
Beisen.MultiTenant.DataAccess.dll,Beisen.MultiTenant.MetaData.ServiceImp.dll
Beisen.MultiTenant.DataAccess.dll,Beisen.ElasticSearch.dll
Beisen.MultiTenant.DataAccess.dll,Beisen.Configuration.dll
Beisen.MultiTenant.DataAccess.dll,Beisen.Search.Client.dll
Beisen.MultiTenant.DataMapper.dll,Beisen.MultiTenant.Core.dll
Beisen.MultiTenant.DataMapper.dll,Beisen.MultiTenant.Data.dll
Beisen.MultiTenant.DataMapper.dll,Beisen.Cassandra.dll
Beisen.MultiTenant.DataMapper.dll,FluentCassandra.dll
Beisen.MultiTenant.DataMapper.dll,Beisen.Common.dll
Beisen.MultiTenant.DataMapper.dll,Beisen.MultiTenant.MetaData.ServiceImp.dll
Beisen.MultiTenant.MetaData.ServiceImp.dll,Beisen.MultiTenant.MetaData.ServiceInterface.dll
Beisen.MultiTenant.MetaData.ServiceImp.dll,Beisen.Data.dll
Beisen.MultiTenant.MetaData.ServiceImp.dll,Beisen.MultiTenant.Core.dll
Beisen.MultiTenant.MetaData.ServiceImp.dll,Beisen.Entity.dll
Beisen.MultiTenant.MetaData.ServiceImp.dll,MySpace.Shared.dll
Beisen.MultiTenant.MetaData.ServiceImp.dll,Beisen.Common.dll
Beisen.MultiTenant.MetaData.ServiceInterface.dll,Beisen.MultiTenant.Core.dll
Beisen.MultiTenant.UI.dll,Beisen.Entity.dll
Beisen.MultiTenant.UI.dll,MySpace.Shared.dll
Beisen.MultiTenant.UI.dll,Beisen.MultiTenant.Core.dll
Beisen.MultiTenant.UI.dll,Beisen.Data.dll
Beisen.MultiTenant.UI.dll,Beisen.MultiTenant.Data.dll
Beisen.MultiTenant.UI.dll,Beisen.Common.dll
Beisen.MultiTenant.UI.dll,Newtonsoft.Json.dll
Beisen.MultiTenant.UI.dll,Beisen.Definition.dll
Beisen.MultiTenant.UI.dll,Beisen.NVelocity.dll
Beisen.MultiTenant.UI.dll,Beisen.MultiTenant.MetaData.ServiceImp.dll
Beisen.MultiTenant.UI.dll,Beisen.Membership2.dll
Beisen.MultiTenant.UI.dll,Beisen.BeisenUser.ServiceInterface.dll
Beisen.MultiTenant.UI.dll,Beisen.MultiTenant.DataAccess.dll
Beisen.MultiTenant.UI.dll,FluentCassandra.dll
Beisen.MultiTenant.UI.dll,Beisen.BeisenUser.ServiceImp.dll
Beisen.MultiTenant.UI.dll,nunit.framework.dll
Beisen.MVCExtension2.dll,Beisen.BeisenUser.ServiceInterface.dll
Beisen.MVCExtension2.dll,Beisen.Logging.dll
Beisen.MVCExtension2.dll,Beisen.Membership2.dll
Beisen.MVCExtension2.dll,Beisen.BeisenUser.ServiceImp.dll
Beisen.MVCExtension2.dll,Newtonsoft.Json.dll
Beisen.MVCExtension2.dll,Beisen.Common.dll
Beisen.NVelocity.dll,Beisen.Configuration.dll
Beisen.NVelocity.dll,Beisen.Logging.dll
Beisen.NVelocity.XmlSerializers.dll,Beisen.NVelocity.dll
Beisen.NVelocity.XmlSerializers.dll,Beisen.Configuration.dll
Beisen.Package.ServiceInterface.dll,Beisen.Configuration.dll
Beisen.PassportService.ServiceImp.dll,Beisen.PassportService.ServiceInterface.dll
Beisen.PassportService.ServiceImp.dll,Beisen.Configuration.dll
Beisen.PassportService.ServiceImp.dll,Beisen.Data.dll
Beisen.PlatformServices.ServiceImp.dll,Beisen.Configuration.dll
